opis_id,name,address,city,state,latitude,longitude,price_mean,price_min,price_max,price_sample_count
9467,TA PORTER TRAVEL CENTERS,"I-94, EXIT 22B & US-20",Chesterton,IN,41.599822,-87.054996,3.849000,3.849000,3.849000,1
9468,TA LAKE STATION,"I-80 & I-94, EXIT 15B",Lake Station,IN,41.576735,-87.252878,3.849000,3.849000,3.849000,1
9469,TA EXPRESS COWPENS #477,"I-85, EXIT 83 & SR-110",Cowpens,SC,35.018617,-81.804121,3.399000,3.399000,3.399000,1
9485,PILOT TRAVEL CENTER #4559,"I-20, EXIT 26",Villa Rica,GA,33.728365,-84.916662,3.419000,3.389000,3.449000,2
9513,CIRCLE K #2705350,"I-20, EXIT 5 & US-25",North Augusta,SC,33.523303,-81.956566,3.159000,3.159000,3.159000,1
9525,SCOTCHMAN #3891,"I-77, EXIT 65 & SR-9",Richburg,SC,34.716622,-81.019578,3.109000,3.109000,3.109000,1
9528,GO MART FOOD STORE #43,"I-64, EXIT 39 & SR-34",Teays,WV,38.441757,-81.952912,3.499000,3.499000,3.499000,1
9542,SPINX #266,"I-26, EXIT 104",Columbia,SC,34.040519,-80.906099,3.132333,3.132333,3.132333,1
9550,Mauston Interstate BP,"I-90/I-94, EXIT 69 & SR-82",Mauston,WI,43.799976,-90.079554,3.227333,3.227333,3.227333,1
9553,LYNDON STATION BP,I-90 & 94 EXIT 79,Lyndon Station,WI,43.708788,-89.893654,3.177000,3.177000,3.177000,1
9554,BIG D OIL #2,US-85 & US-34,Belle Fourche,SD,44.663798,-103.859143,3.227333,3.227333,3.227333,1
9614,DITTYS,"I-90, EXIT 284 & SR-45",Kimball,SD,43.746962,-98.956559,3.089000,3.089000,3.089000,1
9618,FLYING J #477,US-75,Anna,TX,33.348167,-96.553452,3.239000,3.239000,3.239000,1
9638,PILOT TRAVEL CENTERS #62,"I-95, EXIT 170 & SR-327",Florence,SC,34.178923,-79.792217,3.349000,3.349000,3.349000,1
9668,COFFEE CUP FUEL STOP #4,"I-90, EXIT 310 & SR-281",Plankinton,SD,43.715421,-98.483616,3.027333,3.027333,3.027333,1
9675,FLYING J TRAVEL PLAZA #722,"I-75 & I-40, EXIT 369",Knoxville,TN,35.970680,-83.949270,3.439000,3.439000,3.439000,1
9699,SPEEDWAY #9400,US-30/US-62 & SR-297,Canton,OH,40.807650,-81.367228,3.369000,3.369000,3.369000,1
9703,PILOT TRAVEL CENTERS #2,"I-90, EXIT 223 & SR-45",Austinburg,OH,41.769168,-80.855605,3.859000,3.859000,3.859000,1
9712,TA GREENSBORO TRAVEL CENTER,"I-40 & I-85, EXIT 138 & SR-61",Whitsett,NC,36.079180,-79.572345,3.997333,3.997333,3.997333,1
9713,TA Express Vermillion #275,"I-29, EXIT 26 & SR-50",Burbank,SD,42.746080,-96.832718,3.099000,3.099000,3.099000,1
9717,COFFEE CUP FUEL STOP #8,"I-90, EXIT 212 & SR-83",Vivian,SD,43.927267,-100.301123,3.097333,3.097333,3.097333,1
9724,One9 #1339,"I-81,  EXIT 34",Parish,NY,43.405802,-76.126370,3.799000,3.799000,3.799000,1
9746,TA MILL CITY TRAVEL CENTER,"I-80, EXIT 151",Imlay,NV,40.658106,-118.144098,3.794000,3.794000,3.794000,1
9747,GOOD TO GO TRAVEL CENTER,"I-80, EXIT 353 & US-81",York,NE,40.870379,-97.592745,3.317333,3.317333,3.317333,1
